date,type,price,shares,cost,cash,equity,return
2020-03-13 00:00:00+08:00,BUY,16.08559428977966,124000,3700.008398535117,8001686.299668787,10000000.0,
2020-03-19 00:00:00+08:00,SELL,14.198219475746155,124000,8547.6120887887,9753717.902572522,9764027.85621786,-0.11733323494505207
2020-08-21 00:00:00+08:00,BUY,18.191280254364013,107000,3610.6962612874413,7803640.219094285,9753717.902572522,
2020-11-11 00:00:00+08:00,SELL,18.274113676071167,107000,9493.127943013831,9749477.254490886,9760927.66988469,0.0045534685051802325
2021-02-22 00:00:00+08:00,BUY,18.94759191703796,102000,3585.0738666227526,7813237.805086391,9749477.254490886,
2021-02-24 00:00:00+08:00,SELL,19.863165962219238,102000,9836.43841615059,9829444.294816602,9841308.804231899,0.04832139351481276
2021-05-13 00:00:00+08:00,BUY,19.743707748413083,99000,3625.8332094573207,7871191.39451425,9829444.294816602,
2021-05-24 00:00:00+08:00,SELL,20.37960724067688,99000,9795.356322195139,9878977.155019065,9890792.112058805,0.03220770386022894
2022-10-31 00:00:00+08:00,BUY,22.137011671066283,89000,3654.709941834688,7905128.406352332,9878977.155019065,
2022-11-14 00:00:00+08:00,SELL,23.269854892730713,89000,10054.787949874477,9966090.70385549,9978218.581980994,0.05117417104428278
2023-08-14 00:00:00+08:00,BUY,49.75472974395751,40000,3691.8009470016477,7972209.713150188,9966090.70385549,
2023-09-19 00:00:00+08:00,SELL,45.353732643127444,40000,8807.694879295348,9777551.32399599,9788174.984146282,-0.0884538439557005
2023-09-20 00:00:00+08:00,BUY,45.444530906677244,43000,3624.8830077711104,7819811.612001098,9777551.32399599,
2023-09-25 00:00:00+08:00,SELL,46.24210653305054,43000,9653.733370372296,9798568.459551899,9810212.593904175,0.017550530514027277
2023-10-25 00:00:00+08:00,BUY,41.18118139266967,47000,3590.3812997199057,7859462.552796705,9798568.459551899,
2023-10-31 00:00:00+08:00,SELL,37.592165279388425,47000,8577.968234277247,9617716.352693683,9628062.92129646,-0.08715184926482217
2023-11-01 00:00:00+08:00,BUY,38.135925739288325,50000,3537.107112318992,7707382.958616948,9617716.352693683,
2023-12-13 00:00:00+08:00,SELL,43.951038230895996,50000,10669.114530550003,9894265.755631197,9907134.621824956,0.15248384243670887
2023-12-22 00:00:00+08:00,BUY,47.412229213714596,41000,3605.9370928490634,7946758.42077605,9894265.755631197,
2023-12-25 00:00:00+08:00,SELL,48.252629093170164,41000,9604.927084140987,9915511.286511885,9927096.551726978,0.017725382109062934
2024-04-16 00:00:00+08:00,BUY,50.504334190368645,39000,3653.7360570022197,7942188.517030505,9915511.286511885,
2024-04-30 00:00:00+08:00,SELL,49.655319694519044,39000,9401.986507558708,9869343.998609189,9880684.481080798,-0.016810725444857202
2024-05-22 00:00:00+08:00,BUY,52.19093655776977,37000,3582.124930642528,7934697.221041065,9869343.998609189,
2024-06-06 00:00:00+08:00,SELL,50.21639974594116,37000,9020.62296836214,9783683.388672525,9794563.878298145,-0.037832944607978175
2024-06-19 00:00:00+08:00,BUY,52.65943742752074,37000,3614.2804878378865,7831669.92336642,9783683.388672525,
2024-07-26 00:00:00+08:00,SELL,47.539910213470456,37000,8539.831771196767,9582106.76949363,9592407.33868014,-0.0972195576737159
2024-07-30 00:00:00+08:00,BUY,45.517972347259516,42000,3546.305225574989,7666805.625683156,9582106.76949363,
2024-08-05 00:00:00+08:00,SELL,41.633434753417966,42000,8489.473680569457,9406920.41164614,9417160.239940967,-0.08534074330478003
2024-08-07 00:00:00+08:00,BUY,43.0159267501831,43000,3431.165397228355,7553804.3959910385,9406920.41164614,
2024-11-05 00:00:00+08:00,SELL,48.21219181823731,43000,10065.018224934312,9616863.625950309,9629003.843622874,0.12079863112636743
